date,site,tree,flow_gal,afternoon_high_f,sugar_percent,weight_lb
2024-02-01,Alumni House,"Alumni House - Tree 1",0.37,41,2.44,90.58
2024-02-02,Alumni House,"Alumni House - Tree 1",0,41,,5.35
2024-02-03,Alumni House,"Alumni House - Tree 1",0.31,41,2.44,8.02
2024-02-04,Alumni House,"Alumni House - Tree 1",1.08,46,2.27,17.31
2024-02-05,Alumni House,"Alumni House - Tree 1",0.78,44.1,2.34,24.01
2024-02-06,Alumni House,"Alumni House - Tree 1",1,43,2.38,32.61
2024-02-07,Alumni House,"Alumni House - Tree 1",1.39,46.9,2.24,44.57
2024-02-08,Alumni House,"Alumni House - Tree 1",0.22,55.9,1.92,46.46
2024-02-09,Alumni House,"Alumni House - Tree 1",0,57,,46.46
2024-02-10,Alumni House,"Alumni House - Tree 1",0,57.9,,46.46
2024-02-11,Alumni House,"Alumni House - Tree 1",0,48,,46.46
2024-02-12,Alumni House,"Alumni House - Tree 1",0.63,42.1,2.41,51.88
2024-02-13,Alumni House,"Alumni House - Tree 1",0.39,39,2.26,55.23
2024-02-14,Alumni House,"Alumni House - Tree 1",0.48,36,2.55,59.36
2024-02-15,Alumni House,"Alumni House - Tree 1",0.66,36,2.55,65.04
2024-02-16,Alumni House,"Alumni House - Tree 1",0.31,37,2.55,67.7
2024-02-17,Alumni House,"Alumni House - Tree 1",0,32,,67.7
2024-02-18,Alumni House,"Alumni House - Tree 1",0.57,35.1,2.55,72.6
2024-02-19,Alumni House,"Alumni House - Tree 1",0.2,34,2.45,74.32
2024-02-20,Alumni House,"Alumni House - Tree 1",1.32,39.9,2.68,85.68
2024-02-21,Alumni House,"Alumni House - Tree 1",1.08,43,2.38,94.96
2024-02-22,Alumni House,"Alumni House - Tree 1",0.74,43,2.38,17.82
2024-02-23,Alumni House,"Alumni House - Tree 1",0,45,,17.82
2024-02-24,Alumni House,"Alumni House - Tree 1",0.66,39,2.51,23.5
2024-02-25,Alumni House,"Alumni House - Tree 1",1.84,43,2.58,39.32
2024-02-26,Alumni House,"Alumni House - Tree 1",0,57,,39.32
2024-02-27,Alumni House,"Alumni House - Tree 1",0,66,,39.32
2024-02-28,Alumni House,"Alumni House - Tree 1",0,60.1,,39.32
2024-02-29,Alumni House,"Alumni House - Tree 1",0.92,50,2.13,47.23
2024-03-01,Alumni House,"Alumni House - Tree 1",1.8,48.9,2.17,62.71
2024-03-02,Alumni House,"Alumni House - Tree 1",0,46.9,,62.71
2024-03-03,Alumni House,"Alumni House - Tree 1",0,55.9,,62.71
2024-03-04,Alumni House,"Alumni House - Tree 1",0,66,,62.71
2024-03-05,Alumni House,"Alumni House - Tree 1",0,54,,62.71
2024-03-06,Alumni House,"Alumni House - Tree 1",0,55,,62.71
2024-03-07,Alumni House,"Alumni House - Tree 1",0,52,,62.71
2024-03-08,Alumni House,"Alumni House - Tree 1",0,59,,62.71
2024-03-09,Alumni House,"Alumni House - Tree 1",0,48.9,,62.71
2024-03-10,Alumni House,"Alumni House - Tree 1",0,45,,62.71
2024-03-11,Alumni House,"Alumni House - Tree 1",0.49,48.9,2.17,66.93
2024-03-12,Alumni House,"Alumni House - Tree 1",0,64,,66.93
2024-03-13,Alumni House,"Alumni House - Tree 1",0,70,,66.93
2024-03-14,Alumni House,"Alumni House - Tree 1",0,73,,66.93
2024-03-15,Alumni House,"Alumni House - Tree 1",0,68,,66.93
2024-03-16,Alumni House,"Alumni House - Tree 1",0,55.9,,66.93
2024-03-17,Alumni House,"Alumni House - Tree 1",0,55,,66.93
2024-03-18,Alumni House,"Alumni House - Tree 1",0,43,,66.93
2024-03-19,Alumni House,"Alumni House - Tree 1",0.32,42.1,2.41,69.68
2024-03-20,Alumni House,"Alumni House - Tree 1",0,39.9,,69.68
2024-03-21,Alumni House,"Alumni House - Tree 1",0.5,37,2.55,73.98
2024-03-22,Alumni House,"Alumni House - Tree 1",1,43,2.38,82.58
2024-03-23,Alumni House,"Alumni House - Tree 1",0.4,39.9,2.23,86.02
2024-03-24,Alumni House,"Alumni House - Tree 1",0.54,43,2.38,90.66
2024-03-25,Alumni House,"Alumni House - Tree 1",0.29,59,1.81,9.31
2024-03-26,Alumni House,"Alumni House - Tree 1",0,61,,9.31
2024-03-27,Alumni House,"Alumni House - Tree 1",0,54,,9.31
2024-03-28,Alumni House,"Alumni House - Tree 1",0,46.9,,9.31
2024-03-29,Alumni House,"Alumni House - Tree 1",0,48,,9.31
2024-03-30,Alumni House,"Alumni House - Tree 1",0,57,,9.31
2024-03-31,Alumni House,"Alumni House - Tree 1",0,54,,9.31
2024-04-01,Alumni House,"Alumni House - Tree 1",0,50,,9.31
2024-04-02,Alumni House,"Alumni House - Tree 1",0,48.2,,9.31
2024-04-03,Alumni House,"Alumni House - Tree 1",0,45,,9.31
2024-04-04,Alumni House,"Alumni House - Tree 1",0,45,,9.31
2024-04-05,Alumni House,"Alumni House - Tree 1",0,44.1,,9.31
2024-04-06,Alumni House,"Alumni House - Tree 1",0,48,,9.31
2024-04-07,Alumni House,"Alumni House - Tree 1",0,60.1,,9.31
2024-04-08,Alumni House,"Alumni House - Tree 1",0,63,,9.31
2024-04-09,Alumni House,"Alumni House - Tree 1",0,77,,9.31
2024-04-10,Alumni House,"Alumni House - Tree 1",0,70,,9.31
2024-04-11,Alumni House,"Alumni House - Tree 1",0,66.9,,9.31
